filename,extension,file_size_bytes,status_category,target_bucket,target_storage_path,reference_locations,notes
InconsistentClientTransferException.php,.php,918,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
Mahesh-150x150.jpg,.jpg,7652,ACTIVELY REFERENCED,yuvatejam-media,images/Mahesh-150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Newteam-150x150.jpg,.jpg,23619,UNCERTAIN / VARIANT,yuvatejam-media,images/Newteam-150x150.jpg,lib\data\pages-data.ts,Resolution variant of base image 'Newteam.jpg' which is referenced in source
Newteam-288x300.jpg,.jpg,38911,ACTIVELY REFERENCED,yuvatejam-media,images/Newteam-288x300.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Newteam-768x799.jpg,.jpg,111830,ACTIVELY REFERENCED,yuvatejam-media,images/Newteam-768x799.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Newteam-985x1024.jpg,.jpg,150055,ACTIVELY REFERENCED,yuvatejam-media,images/Newteam-985x1024.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Newteam.jpg,.jpg,147482,ACTIVELY REFERENCED,yuvatejam-media,images/Newteam.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Profile-768x866.jpg,.jpg,110166,ACTIVELY REFERENCED,yuvatejam-media,images/Profile-768x866.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Profile1-768x1102.jpg,.jpg,145650,ACTIVELY REFERENCED,yuvatejam-media,images/Profile1-768x1102.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Profile2-768x994.jpg,.jpg,130721,ACTIVELY REFERENCED,yuvatejam-media,images/Profile2-768x994.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Psr18Client.php,.php,4447,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
Psr18ClientDiscovery.php,.php,1038,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
R-e1753279067440-150x150.jpg,.jpg,5716,ACTIVELY REFERENCED,yuvatejam-media,images/R-e1753279067440-150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
